music,file,frame,spectralRollof_0_mean,spectralRollof_0_var
1,98curitiba_2017_05_20__12_11_00.wav,26,3746.5,4156427.02020202
1,98curitiba_2017_05_20__12_11_00.wav,27,4648.0,914945.4545454546
1,98curitiba_2017_05_20__12_11_00.wav,28,4213.5,5719184.595959596
1,98curitiba_2017_05_20__12_11_00.wav,29,3597.5,1903604.797979798
1,98curitiba_2017_05_20__12_11_00.wav,30,3385.0,1940984.8484848484
1,98curitiba_2017_05_20__12_11_00.wav,31,2892.0,1698773.7373737374
1,98curitiba_2017_05_20__12_11_00.wav,32,3331.5,2158063.383838384
1,98curitiba_2017_05_20__12_11_00.wav,33,4696.5,6205568.434343434
1,98curitiba_2017_05_20__12_11_00.wav,34,3774.5,286691.6666666667
1,98curitiba_2017_05_20__12_11_00.wav,35,3744.5,8890095.707070706
1,98curitiba_2017_05_20__12_11_00.wav,36,3568.0,1482905.0505050505
1,98curitiba_2017_05_20__12_11_00.wav,37,3476.5,2208154.292929293
1,98curitiba_2017_05_20__12_11_00.wav,38,4642.0,5133925.252525252
1,98curitiba_2017_05_20__12_11_00.wav,39,3252.5,6954261.363636363
1,98curitiba_2017_05_20__12_13_00.wav,0,7774.0,18402347.474747475
1,98curitiba_2017_05_20__12_13_00.wav,1,4748.0,3919490.909090909
1,98curitiba_2017_05_20__12_13_00.wav,2,4778.5,4729103.787878788
1,98curitiba_2017_05_20__12_13_00.wav,3,5049.0,4008281.8181818184
1,98curitiba_2017_05_20__12_13_00.wav,4,4499.5,3322146.212121212
1,98curitiba_2017_05_20__12_13_00.wav,5,4141.0,4301887.878787879
1,98curitiba_2017_05_20__12_13_00.wav,6,5012.5,1745018.9393939395
1,98curitiba_2017_05_20__12_13_00.wav,7,3393.5,2639730.0505050505
1,98curitiba_2017_05_20__12_13_00.wav,8,3671.0,6841574.747474748
1,98curitiba_2017_05_20__12_13_00.wav,9,6753.0,2631607.0707070706
1,98curitiba_2017_05_20__12_13_00.wav,10,6030.0,3889040.404040404
1,98curitiba_2017_05_20__12_13_00.wav,11,4869.0,2818574.7474747472
1,98curitiba_2017_05_20__12_13_00.wav,12,4169.5,2911408.8383838385
1,98curitiba_2017_05_20__12_13_00.wav,13,4088.5,4408326.01010101
1,98curitiba_2017_05_20__12_13_00.wav,14,4046.5,3062740.1515151514
1,98curitiba_2017_05_20__12_13_00.wav,15,4434.5,3868822.97979798
1,98curitiba_2017_05_20__12_13_00.wav,16,3311.0,3925938.383838384
1,98curitiba_2017_05_20__12_13_00.wav,17,2826.0,2817650.505050505
1,98curitiba_2017_05_20__12_13_00.wav,18,2509.5,3366247.222222222
1,98curitiba_2017_05_20__12_13_00.wav,19,5187.0,10845081.818181818
1,98curitiba_2017_05_20__12_13_00.wav,20,3043.5,2890689.6464646463
1,98curitiba_2017_05_20__12_13_00.wav,21,3704.5,5265509.848484849
1,98curitiba_2017_05_20__12_13_00.wav,22,4680.0,9140555.555555556
1,98curitiba_2017_05_20__12_13_00.wav,23,2762.5,2980069.4444444445
1,98curitiba_2017_05_20__12_13_00.wav,24,4733.5,6350204.797979798
1,98curitiba_2017_05_20__12_13_00.wav,25,2616.5,2526416.9191919193
1,98curitiba_2017_05_20__12_13_00.wav,26,3749.5,7572449.242424242
1,98curitiba_2017_05_20__12_13_00.wav,27,3493.5,3839932.0707070706
1,98curitiba_2017_05_20__12_13_00.wav,28,3575.0,5545883.838383839
1,98curitiba_2017_05_20__12_13_00.wav,29,4057.5,2114665.404040404
1,98curitiba_2017_05_20__12_13_00.wav,30,4220.0,8861616.161616161
1,98curitiba_2017_05_20__12_13_00.wav,31,3937.5,5930321.96969697
1,98curitiba_2017_05_20__12_13_00.wav,32,3881.0,5886605.05050505
1,98curitiba_2017_05_20__12_13_00.wav,33,4872.5,10271281.565656565
1,98curitiba_2017_05_20__12_13_00.wav,34,3662.5,7102392.676767677
1,98curitiba_2017_05_20__12_13_00.wav,35,4609.0,8229211.111111111
1,98curitiba_2017_05_20__12_13_00.wav,36,4914.5,5870418.939393939
1,98curitiba_2017_05_20__12_13_00.wav,37,4472.5,1417392.6767676768
1,98curitiba_2017_05_20__12_13_00.wav,38,4909.0,4749211.111111111
1,98curitiba_2017_05_20__12_13_00.wav,39,4923.5,6733457.323232323
1,98curitiba_2017_05_20__12_15_00.wav,0,3246.5,24838750.25252525
1,98curitiba_2017_05_20__12_15_00.wav,1,3396.5,10563598.737373738
1,98curitiba_2017_05_20__12_15_00.wav,2,4666.0,15168327.272727273
1,98curitiba_2017_05_20__12_15_00.wav,3,1683.0,3343091.9191919193
1,98curitiba_2017_05_20__12_15_00.wav,4,2462.0,11991975.757575758
1,98curitiba_2017_05_20__12_15_00.wav,5,3634.5,8407863.383838383
1,98curitiba_2017_05_20__12_15_00.wav,6,2412.5,3477847.222222222
1,98curitiba_2017_05_20__12_15_00.wav,7,3933.0,12690112.121212121
1,98curitiba_2017_05_20__12_15_00.wav,8,1479.5,1667328.0303030303
1,98curitiba_2017_05_20__12_15_00.wav,9,4584.5,12688519.949494949
1,98curitiba_2017_05_20__12_15_00.wav,10,3024.0,10282094.949494949
1,98curitiba_2017_05_20__12_15_00.wav,11,2978.5,13809103.787878787
1,98curitiba_2017_05_20__12_15_00.wav,12,5153.5,15397437.121212121
1,98curitiba_2017_05_20__12_15_00.wav,13,4872.5,15520321.969696969
1,98curitiba_2017_05_20__12_15_00.wav,14,2927.5,7977645.202020202
1,98curitiba_2017_05_20__12_15_00.wav,15,1859.0,5297039.393939394
1,98curitiba_2017_05_20__12_15_00.wav,16,6000.0,18374141.414141413
1,98curitiba_2017_05_20__12_15_00.wav,17,3051.0,6867271.717171717
1,98curitiba_2017_05_20__12_15_00.wav,18,3454.0,12089579.797979798
1,98curitiba_2017_05_20__12_15_00.wav,19,3454.5,7933691.666666667
1,98curitiba_2017_05_20__12_15_00.wav,20,5526.0,9948004.04040404
1,98curitiba_2017_05_20__12_15_00.wav,21,2854.5,5104146.212121212
1,98curitiba_2017_05_20__12_15_00.wav,22,3933.5,14055810.858585859
1,98curitiba_2017_05_20__12_15_00.wav,23,2597.0,4138071.717171717
1,98curitiba_2017_05_20__12_15_00.wav,24,1834.5,7290590.656565657
1,98curitiba_2017_05_20__12_15_00.wav,25,1210.0,192424.24242424243
1,98curitiba_2017_05_20__12_15_00.wav,26,6298.0,6846258.585858586
1,98curitiba_2017_05_20__12_15_00.wav,27,5364.5,5225267.424242424
1,98curitiba_2017_05_20__12_15_00.wav,28,4734.5,6042055.303030303
1,98curitiba_2017_05_20__12_15_00.wav,29,2535.5,1907742.1717171718
1,98curitiba_2017_05_20__12_15_00.wav,30,4568.5,10558921.969696969
1,98curitiba_2017_05_20__12_15_00.wav,31,3943.0,8612374.747474747
1,98curitiba_2017_05_20__12_15_00.wav,32,3390.0,2681363.6363636362
1,98curitiba_2017_05_20__12_15_00.wav,33,3164.0,4288741.414141414
1,98curitiba_2017_05_20__12_15_00.wav,34,4103.0,9230394.949494949
1,98curitiba_2017_05_20__12_15_00.wav,35,4153.5,8337588.636363637
1,98curitiba_2017_05_20__12_15_00.wav,36,5602.0,10695854.545454545
1,98curitiba_2017_05_20__12_15_00.wav,37,4795.5,7998035.101010101
1,98curitiba_2017_05_20__12_15_00.wav,38,3824.0,2704822.222222222
1,98curitiba_2017_05_20__12_15_00.wav,39,4125.5,1939216.9191919193
1,98curitiba_2017_05_20__12_19_00.wav,0,3648.5,25080730.05050505
1,98curitiba_2017_05_20__12_19_00.wav,1,6574.0,15092347.474747475
1,98curitiba_2017_05_20__12_19_00.wav,2,4135.0,5254065.656565657
1,98curitiba_2017_05_20__12_19_00.wav,3,5612.5,11314816.91919192
1,98curitiba_2017_05_20__12_19_00.wav,4,5181.5,15216497.727272727
1,98curitiba_2017_05_20__12_19_00.wav,5,3015.0,9773661.616161617
1,98curitiba_2017_05_20__12_19_00.wav,6,4804.5,11183489.646464646
1,98curitiba_2017_05_20__12_19_00.wav,7,3103.5,4254305.808080808
1,98curitiba_2017_05_20__12_19_00.wav,8,3742.0,7767814.141414141
1,98curitiba_2017_05_20__12_19_00.wav,9,3044.0,6665064.646464647
1,98curitiba_2017_05_20__12_19_00.wav,10,2617.5,7050523.98989899
1,98curitiba_2017_05_20__12_19_00.wav,11,4452.5,10425170.454545455
1,98curitiba_2017_05_20__12_19_00.wav,12,3401.5,6914467.424242424
1,98curitiba_2017_05_20__12_19_00.wav,13,3522.5,7856029.04040404
1,98curitiba_2017_05_20__12_19_00.wav,14,3172.0,6832086.868686869
1,98curitiba_2017_05_20__12_19_00.wav,15,2754.0,6918569.696969697
1,98curitiba_2017_05_20__12_19_00.wav,16,4210.0,10447575.757575758
1,98curitiba_2017_05_20__12_19_00.wav,17,4507.0,11997425.252525253
1,98curitiba_2017_05_20__12_19_00.wav,18,3303.5,7034911.868686869
1,98curitiba_2017_05_20__12_19_00.wav,19,2801.0,5127675.757575758
1,98curitiba_2017_05_20__12_19_00.wav,20,3316.5,10094851.262626262
1,98curitiba_2017_05_20__12_19_00.wav,21,3708.5,8110154.292929293
1,98curitiba_2017_05_20__12_19_00.wav,22,4262.0,10194905.050505051
1,98curitiba_2017_05_20__12_19_00.wav,23,4793.5,14348012.878787879
1,98curitiba_2017_05_20__12_19_00.wav,24,4571.5,15078750.252525253
1,98curitiba_2017_05_20__12_19_00.wav,25,3231.0,9530645.454545455
1,98curitiba_2017_05_20__12_19_00.wav,26,3413.0,8201596.96969697
1,98curitiba_2017_05_20__12_19_00.wav,27,6132.5,10207594.696969697
1,98curitiba_2017_05_20__12_19_00.wav,28,4325.0,13004924.242424242
1,98curitiba_2017_05_20__12_19_00.wav,29,3958.0,13805187.878787879
1,98curitiba_2017_05_20__12_19_00.wav,30,2522.5,6114109.848484849
1,98curitiba_2017_05_20__12_19_00.wav,31,3340.5,11275035.1010101
1,98curitiba_2017_05_20__12_19_00.wav,32,4472.5,9108200.757575758
1,98curitiba_2017_05_20__12_19_00.wav,33,5571.0,17733392.92929293
1,98curitiba_2017_05_20__12_19_00.wav,34,3229.5,7995307.828282828
1,98curitiba_2017_05_20__12_19_00.wav,35,2798.0,5946511.111111111
1,98curitiba_2017_05_20__12_19_00.wav,36,2235.0,6081136.363636363
1,98curitiba_2017_05_20__12_19_00.wav,37,4142.5,9847392.676767677
1,98curitiba_2017_05_20__12_19_00.wav,38,4880.5,15546812.878787879
1,98curitiba_2017_05_20__12_19_00.wav,39,4667.5,20802594.696969695
1,98curitiba_2017_05_20__12_21_00.wav,0,6653.0,18762364.646464646
1,98curitiba_2017_05_20__12_21_00.wav,1,8013.0,4834980.808080808
1,98curitiba_2017_05_20__12_21_00.wav,2,5268.0,11839622.222222222
1,98curitiba_2017_05_20__12_21_00.wav,3,7724.5,8011287.626262627
1,98curitiba_2017_05_20__12_21_00.wav,4,6562.5,11803756.313131314
1,98curitiba_2017_05_20__12_21_00.wav,5,8623.5,9075123.989898989
1,98curitiba_2017_05_20__12_21_00.wav,6,8098.0,6912723.232323232
1,98curitiba_2017_05_20__12_21_00.wav,7,5465.5,18522610.858585857
1,98curitiba_2017_05_20__12_21_00.wav,8,3351.5,10072851.262626262
1,98curitiba_2017_05_20__12_21_00.wav,9,3875.5,7387095.707070707
1,98curitiba_2017_05_20__12_21_00.wav,10,3773.5,12335022.97979798
1,98curitiba_2017_05_20__12_21_00.wav,11,4303.0,12210748.484848484
1,98curitiba_2017_05_20__12_21_00.wav,12,4605.5,12964590.656565657
1,98curitiba_2017_05_20__12_21_00.wav,13,3216.0,9601307.070707072
1,98curitiba_2017_05_20__12_21_00.wav,14,4463.5,10637972.474747475
1,98curitiba_2017_05_20__12_21_00.wav,15,4065.5,14414479.545454545
1,98curitiba_2017_05_20__12_21_00.wav,16,3562.0,8078288.888888889
1,98curitiba_2017_05_20__12_21_00.wav,17,5255.0,14007297.97979798
1,98curitiba_2017_05_20__12_21_00.wav,18,3757.5,12797089.646464646
1,98curitiba_2017_05_20__12_21_00.wav,19,4501.5,11885528.030303031
1,98curitiba_2017_05_20__12_21_00.wav,20,3561.5,8802820.95959596
1,98curitiba_2017_05_20__12_21_00.wav,21,4599.0,12524796.969696969
1,98curitiba_2017_05_20__12_21_00.wav,22,5558.5,11970255.303030303
1,98curitiba_2017_05_20__12_21_00.wav,23,4859.5,12654429.04040404
1,98curitiba_2017_05_20__12_21_00.wav,24,5050.0,11973484.848484848
1,98curitiba_2017_05_20__12_21_00.wav,25,3408.5,8467831.06060606
1,98curitiba_2017_05_20__12_21_00.wav,26,4338.0,8711319.191919193
1,98curitiba_2017_05_20__12_21_00.wav,27,6569.5,11519338.131313132
1,98curitiba_2017_05_20__12_21_00.wav,28,5874.0,11138357.575757576
1,98curitiba_2017_05_20__12_21_00.wav,29,4633.0,8861526.262626262
1,98curitiba_2017_05_20__12_21_00.wav,30,4810.0,11208888.888888888
1,98curitiba_2017_05_20__12_21_00.wav,31,6189.0,8378716.161616161
1,98curitiba_2017_05_20__12_21_00.wav,32,6965.5,8467863.383838383
1,98curitiba_2017_05_20__12_21_00.wav,33,7176.5,6525578.535353536
1,98curitiba_2017_05_20__12_21_00.wav,34,5068.0,8805733.333333334
1,98curitiba_2017_05_20__12_21_00.wav,35,4869.5,10195297.727272727
1,98curitiba_2017_05_20__12_21_00.wav,36,6271.0,9570211.111111112
1,98curitiba_2017_05_20__12_21_00.wav,37,7198.0,9519692.929292928
1,98curitiba_2017_05_20__12_21_00.wav,38,5775.0,8731035.353535354
1,98curitiba_2017_05_20__12_21_00.wav,39,5611.5,8109790.656565657
1,98curitiba_2017_05_20__12_23_00.wav,0,5419.5,14293126.010101011
1,98curitiba_2017_05_20__12_23_00.wav,1,3903.5,1855568.4343434344
1,98curitiba_2017_05_20__12_23_00.wav,2,4195.0,3660681.8181818184
1,98curitiba_2017_05_20__12_23_00.wav,3,5941.0,8742544.444444444
1,98curitiba_2017_05_20__12_23_00.wav,4,4673.5,3066588.6363636362
1,98curitiba_2017_05_20__12_23_00.wav,5,5277.5,6137291.666666667
1,98curitiba_2017_05_20__12_23_00.wav,6,4741.0,2529615.1515151514
1,98curitiba_2017_05_20__12_23_00.wav,7,4626.5,3317043.1818181816
1,98curitiba_2017_05_20__12_23_00.wav,8,4167.5,5523756.313131313
1,98curitiba_2017_05_20__12_23_00.wav,9,4091.5,3135608.8383838385
1,98curitiba_2017_05_20__12_23_00.wav,10,4343.5,5397507.828282828
1,98curitiba_2017_05_20__12_23_00.wav,11,3882.0,3688511.111111111
1,98curitiba_2017_05_20__12_23_00.wav,12,2914.0,1680206.0606060605
1,98curitiba_2017_05_20__12_23_00.wav,13,3250.5,589216.9191919192
1,98curitiba_2017_05_20__12_23_00.wav,14,3324.0,1342650.505050505
1,98curitiba_2017_05_20__12_23_00.wav,15,4542.0,10196450.505050505
1,98curitiba_2017_05_20__12_23_00.wav,16,3615.5,6273822.97979798
1,98curitiba_2017_05_20__12_23_00.wav,17,3018.5,1180134.0909090908
1,98curitiba_2017_05_20__12_23_00.wav,18,3821.5,2421528.0303030303
1,98curitiba_2017_05_20__12_23_00.wav,19,4075.5,4537752.2727272725
1,98curitiba_2017_05_20__12_23_00.wav,20,3054.5,3341368.4343434344
1,98curitiba_2017_05_20__12_23_00.wav,21,3684.0,8994993.93939394
1,98curitiba_2017_05_20__12_23_00.wav,22,4810.5,9717742.171717172
1,98curitiba_2017_05_20__12_23_00.wav,23,2865.0,3548560.606060606
1,98curitiba_2017_05_20__12_23_00.wav,24,4652.5,7532847.222222222
1,98curitiba_2017_05_20__12_23_00.wav,25,3430.0,1403686.8686868686
1,98curitiba_2017_05_20__12_23_00.wav,26,4661.0,4241493.939393939
1,98curitiba_2017_05_20__12_23_00.wav,27,3269.5,1481206.8181818181
1,98curitiba_2017_05_20__12_23_00.wav,28,5552.0,9440602.02020202
1,98curitiba_2017_05_20__12_23_00.wav,29,3871.0,2740766.6666666665
1,98curitiba_2017_05_20__12_23_00.wav,30,4344.0,2394155.5555555555
1,98curitiba_2017_05_20__12_23_00.wav,31,3319.5,3306055.303030303
1,98curitiba_2017_05_20__12_23_00.wav,32,4085.0,7845126.262626262
1,98curitiba_2017_05_20__12_23_00.wav,33,4157.5,7437948.232323232
1,98curitiba_2017_05_20__12_23_00.wav,34,4882.0,6078713.131313131
1,98curitiba_2017_05_20__12_23_00.wav,35,3716.0,2087266.6666666667
1,98curitiba_2017_05_20__12_23_00.wav,36,3824.0,2726943.4343434344
1,98curitiba_2017_05_20__12_23_00.wav,37,5672.5,9721685.606060605
1,98curitiba_2017_05_20__12_23_00.wav,38,4043.5,6470487.626262627
1,98curitiba_2017_05_20__12_23_00.wav,39,4231.0,7771554.545454546
1,98curitiba_2017_05_20__12_25_00.wav,0,5629.5,25981469.444444444
1,98curitiba_2017_05_20__12_25_00.wav,1,5031.5,23473669.444444444
1,98curitiba_2017_05_20__12_25_00.wav,2,5936.5,22176356.313131314
1,98curitiba_2017_05_20__12_25_00.wav,3,5436.0,17294397.979797978
1,98curitiba_2017_05_20__12_25_00.wav,4,3040.5,2353115.909090909
1,98curitiba_2017_05_20__12_25_00.wav,5,5496.5,10562336.111111112
1,98curitiba_2017_05_20__12_25_00.wav,6,2704.0,3953872.727272727
1,98curitiba_2017_05_20__12_25_00.wav,7,3783.5,10581467.424242424
1,98curitiba_2017_05_20__12_25_00.wav,8,6365.5,21795994.696969695
1,98curitiba_2017_05_20__12_25_00.wav,9,3634.5,4213671.464646464
1,98curitiba_2017_05_20__12_25_00.wav,10,4744.0,8535620.202020202
1,98curitiba_2017_05_20__12_25_00.wav,11,3494.0,4617741.414141414
1,98curitiba_2017_05_20__12_25_00.wav,12,3824.5,4438863.3838383835
1,98curitiba_2017_05_20__12_25_00.wav,13,5928.5,16601881.565656565
1,98curitiba_2017_05_20__12_25_00.wav,14,5039.0,4565332.323232323
1,98curitiba_2017_05_20__12_25_00.wav,15,4266.0,2466812.121212121
1,98curitiba_2017_05_20__12_25_00.wav,16,3763.5,3929083.585858586
1,98curitiba_2017_05_20__12_25_00.wav,17,4178.0,4757793.939393939
1,98curitiba_2017_05_20__12_25_00.wav,18,5398.5,10721992.676767677
1,98curitiba_2017_05_20__12_25_00.wav,19,5043.5,10667154.292929294
1,98curitiba_2017_05_20__12_25_00.wav,20,5848.0,13091056.565656565
1,98curitiba_2017_05_20__12_25_00.wav,21,5282.5,8903554.292929294
1,98curitiba_2017_05_20__12_25_00.wav,22,4705.0,4494520.202020202
1,98curitiba_2017_05_20__12_25_00.wav,23,5666.0,14157923.232323233
1,98curitiba_2017_05_20__12_25_00.wav,24,5322.5,12260473.484848484
1,98curitiba_2017_05_20__12_25_00.wav,25,5168.0,11999470.707070706
1,98curitiba_2017_05_20__12_25_00.wav,26,4373.0,15287192.929292928
1,98curitiba_2017_05_20__12_25_00.wav,27,4971.0,10090716.161616161
1,98curitiba_2017_05_20__12_25_00.wav,28,5195.5,11283792.676767677
1,98curitiba_2017_05_20__12_25_00.wav,29,3271.5,6248093.686868687
1,98curitiba_2017_05_20__12_25_00.wav,30,6161.5,15627770.454545455
1,98curitiba_2017_05_20__12_25_00.wav,31,5359.0,12128706.06060606
1,98curitiba_2017_05_20__12_25_00.wav,32,6428.5,12185416.91919192
1,98curitiba_2017_05_20__12_25_00.wav,33,4301.0,6000049.4949494945
1,98curitiba_2017_05_20__12_25_00.wav,34,6226.5,13048861.363636363
