file,music
alpha_2017_05_14__23_07_00.wav,1
alpha_2017_05_14__23_17_05.wav,1
alpha_2017_05_14__23_19_01.wav,1
alpha_2017_05_14__23_23_01.wav,1
alpha_2017_05_14__23_25_00.wav,1
alpha_2017_05_14__23_27_01.wav,1
alpha_2017_05_14__23_29_01.wav,1
alpha_2017_05_14__23_33_01.wav,1
alpha_2017_05_14__23_37_01.wav,1
alpha_2017_05_14__23_39_01.wav,1
alpha_2017_05_14__23_41_01.wav,1
alpha_2017_05_14__23_45_01.wav,1
alpha_2017_05_14__23_49_01.wav,1
alpha_2017_05_14__23_53_01.wav,1
alpha_2017_05_14__23_55_01.wav,1
alpha_2017_05_14__23_57_01.wav,1
alpha_2017_05_14__23_59_00.wav,1
alpha_2017_05_14__9_27_11.wav,1
alpha_2017_05_14__9_33_01.wav,1
alpha_2017_05_14__9_35_00.wav,1
alpha_2017_05_14__9_36_00.wav,1
alpha_2017_05_14__9_39_00.wav,1
alpha_2017_05_14__9_42_00.wav,1
alpha_2017_05_14__9_45_00.wav,1
alpha_2017_05_14__9_48_00.wav,1
alpha_2017_05_14__9_51_00.wav,1
alpha_2017_05_15__0_01_00.wav,1
alpha_2017_05_15__0_05_00.wav,1
alpha_2017_05_15__0_09_00.wav,1
alpha_2017_05_15__0_11_00.wav,1
antena1_2017_05_13__19_22_00.wav,1
antena1_2017_05_13__19_24_00.wav,1
antena1_2017_05_13__19_25_00.wav,1
antena1_2017_05_13__19_26_00.wav,1
antena1_2017_05_13__19_27_00.wav,1
antena1_2017_05_13__19_28_00.wav,1
antena1_2017_05_13__19_29_00.wav,1
antena1_2017_05_13__19_30_00.wav,1
antena1_2017_05_13__19_31_00.wav,1
antena1_2017_05_13__20_00_00.wav,1
antena1_2017_05_13__20_01_00.wav,1
antena1_2017_05_13__20_06_00.wav,1
antena1_2017_05_13__20_07_00.wav,1
antena1_2017_05_13__20_09_00.wav,1
antena1_2017_05_13__20_10_00.wav,1
antena1_2017_05_13__20_11_00.wav,1
antena1_2017_05_13__20_12_00.wav,1
antena1_2017_05_13__20_13_00.wav,1
antena1_2017_05_13__20_14_00.wav,1
antena1_2017_05_14__14_00_20.wav,1
antena1_2017_05_14__14_03_20.wav,1
antena1_2017_05_14__14_04_20.wav,1
antena1_2017_05_14__14_05_20.wav,1
antena1_2017_05_14__14_07_20.wav,1
antena1_2017_05_14__14_08_20.wav,1
antena1_2017_05_14__14_09_20.wav,1
antena1_2017_05_14__14_11_20.wav,1
antena1_2017_05_14__14_12_20.wav,1
antena1_2017_05_14__14_13_20.wav,1
antena1_2017_05_14__14_15_20.wav,1
antena1_2017_05_14__14_16_20.wav,1
antena1_2017_05_14__14_17_20.wav,1
antena1_2017_05_14__14_18_20.wav,1
antena1_2017_05_14__14_19_20.wav,1
antena1_2017_05_14__14_21_20.wav,1
antena1_2017_05_14__14_22_20.wav,1
antena1_2017_05_14__14_23_20.wav,1
antena1_2017_05_14__14_25_20.wav,1
antena1_2017_05_14__14_26_20.wav,1
antena1_2017_05_14__14_28_20.wav,1
antena1_2017_05_14__14_29_20.wav,1
antena1_2017_05_14__14_30_20.wav,1
antena1_2017_05_14__14_31_20.wav,1
antena1_2017_05_14__14_32_20.wav,1
antena1_2017_05_14__14_33_20.wav,1
antena1_2017_05_14__14_34_20.wav,1
antena1_2017_05_14__14_36_20.wav,1
antena1_2017_05_14__14_37_20.wav,1
antena1_2017_05_14__14_38_20.wav,1
antena1_2017_05_14__14_39_20.wav,1
antena1_2017_05_14__14_41_20.wav,1
antena1_2017_05_14__14_42_20.wav,1
antena1_2017_05_14__14_44_20.wav,1
antena1_2017_05_14__14_45_20.wav,1
antena1_2017_05_14__14_46_20.wav,1
antena1_2017_05_14__14_48_20.wav,1
antena1_2017_05_14__14_49_20.wav,1
antena1_2017_05_14__14_50_20.wav,1
antena1_2017_05_14__14_52_20.wav,1
antena1_2017_05_14__14_53_20.wav,1
antena1_2017_05_14__14_54_20.wav,1
antena1_2017_05_14__14_56_20.wav,1
antena1_2017_05_14__14_58_20.wav,1
antena1_2017_05_14__16_00_00.wav,1
antena1_2017_05_14__16_03_00.wav,1
antena1_2017_05_14__16_04_00.wav,1
antena1_2017_05_14__16_05_00.wav,1
antena1_2017_05_14__16_06_00.wav,1
antena1_2017_05_14__16_07_00.wav,1
antena1_2017_05_14__16_08_00.wav,1
antena1_2017_05_14__16_09_00.wav,1
antena1_2017_05_14__16_11_00.wav,1
antena1_2017_05_14__16_12_00.wav,1
antena1_2017_05_14__16_13_00.wav,1
antena1_2017_05_14__16_15_00.wav,1
antena1_2017_05_14__16_16_00.wav,1
antena1_2017_05_14__16_17_00.wav,1
antena1_2017_05_14__16_19_00.wav,1
antena1_2017_05_14__16_20_00.wav,1
antena1_2017_05_14__16_22_00.wav,1
antena1_2017_05_14__16_23_00.wav,1
antena1_2017_05_14__16_25_00.wav,1
antena1_2017_05_14__16_26_00.wav,1
antena1_2017_05_14__16_27_00.wav,1
antena1_2017_05_14__16_28_00.wav,1
antena1_2017_05_14__16_31_00.wav,1
antena1_2017_05_14__16_32_00.wav,1
antena1_2017_05_14__16_34_00.wav,1
antena1_2017_05_14__16_35_00.wav,1
antena1_2017_05_14__16_36_00.wav,1
antena1_2017_05_14__16_37_00.wav,1
antena1_2017_05_14__16_47_00.wav,1
antena1_2017_05_14__16_48_00.wav,1
antena1_2017_05_14__16_49_00.wav,1
antena1_2017_05_14__16_51_00.wav,1
antena1_2017_05_14__16_52_00.wav,1
antena1_2017_05_14__16_53_00.wav,1
antena1_2017_05_14__16_54_00.wav,1
antena1_2017_05_14__16_55_00.wav,1
antena1_2017_05_14__16_56_00.wav,1
antena1_2017_05_14__16_57_00.wav,1
antena1_2017_05_14__16_59_00.wav,1
antena1_2017_05_14__22_14_36.wav,1
antena1_2017_05_14__22_15_19.wav,1
antena1_2017_05_14__22_16_34.wav,1
antena1_2017_05_14__22_18_00.wav,1
antena1_2017_05_14__22_19_00.wav,1
antena1_2017_05_14__22_20_00.wav,1
antena1_2017_05_14__22_22_00.wav,1
antena1_2017_05_14__22_23_00.wav,1
antena1_2017_05_14__22_24_00.wav,1
antena1_2017_05_14__22_26_00.wav,1
antena1_2017_05_14__22_27_00.wav,1
antena1_2017_05_14__22_28_00.wav,1
antena1_2017_05_14__22_29_00.wav,1
antena1_2017_05_14__22_30_00.wav,1
antena1_2017_05_14__22_31_00.wav,1
antena1_2017_05_14__22_34_00.wav,1
antena1_2017_05_14__22_35_00.wav,1
antena1_2017_05_14__22_36_00.wav,1
antena1_2017_05_14__22_38_00.wav,1
antena1_2017_05_14__22_39_00.wav,1
antena1_2017_05_14__22_40_00.wav,1
antena1_2017_05_14__22_41_00.wav,1
antena1_2017_05_14__22_42_00.wav,1
antena1_2017_05_14__22_44_00.wav,1
antena1_2017_05_14__22_45_00.wav,1
antena1_2017_05_14__22_46_00.wav,1
antena1_2017_05_14__23_17_05.wav,1
antena1_2017_05_14__23_19_01.wav,1
antena1_2017_05_14__23_21_01.wav,1
antena1_2017_05_14__23_23_01.wav,1
antena1_2017_05_14__23_25_00.wav,1
antena1_2017_05_14__23_27_01.wav,1
antena1_2017_05_14__23_29_01.wav,1
antena1_2017_05_14__23_33_01.wav,1
antena1_2017_05_14__23_35_01.wav,1
antena1_2017_05_14__23_37_01.wav,1
antena1_2017_05_14__23_39_01.wav,1
antena1_2017_05_14__23_41_01.wav,1
antena1_2017_05_14__23_43_01.wav,1
antena1_2017_05_14__23_45_01.wav,1
antena1_2017_05_14__23_47_01.wav,1
antena1_2017_05_14__23_49_01.wav,1
antena1_2017_05_14__23_51_01.wav,1
antena1_2017_05_14__23_53_01.wav,1
antena1_2017_05_14__23_55_01.wav,1
antena1_2017_05_14__23_57_01.wav,1
antena1_2017_05_14__23_59_01.wav,1
cultura_2017_05_14__10_23_00.wav,1
cultura_2017_05_14__10_25_00.wav,1
cultura_2017_05_14__10_33_00.wav,1
cultura_2017_05_14__10_35_00.wav,1
cultura_2017_05_14__10_45_00.wav,1
cultura_2017_05_14__10_47_00.wav,1
cultura_2017_05_14__10_49_00.wav,1
cultura_2017_05_14__10_51_00.wav,1
cultura_2017_05_14__10_53_00.wav,1
cultura_2017_05_14__10_55_00.wav,1
cultura_2017_05_14__11_03_00.wav,1
cultura_2017_05_14__11_05_00.wav,1
cultura_2017_05_14__11_07_00.wav,1
cultura_2017_05_14__11_09_00.wav,1
cultura_2017_05_14__11_11_00.wav,1
cultura_2017_05_14__11_13_00.wav,1
cultura_2017_05_14__11_17_00.wav,1
cultura_2017_05_14__18_00_00.wav,1
cultura_2017_05_14__18_01_00.wav,1
cultura_2017_05_14__18_02_00.wav,1
cultura_2017_05_14__18_03_00.wav,1
cultura_2017_05_14__18_04_00.wav,1
cultura_2017_05_14__18_05_00.wav,1
cultura_2017_05_14__18_07_00.wav,1
cultura_2017_05_14__18_08_00.wav,1
cultura_2017_05_14__18_09_00.wav,1
cultura_2017_05_14__18_11_00.wav,1
cultura_2017_05_14__18_12_00.wav,1
cultura_2017_05_14__18_14_00.wav,1
cultura_2017_05_14__18_15_00.wav,1
cultura_2017_05_14__18_17_00.wav,1
cultura_2017_05_14__18_18_00.wav,1
cultura_2017_05_14__18_19_00.wav,1
cultura_2017_05_14__18_20_00.wav,1
cultura_2017_05_14__18_21_00.wav,1
cultura_2017_05_14__18_23_00.wav,1
cultura_2017_05_14__18_24_00.wav,1
cultura_2017_05_14__18_25_00.wav,1
cultura_2017_05_14__18_26_00.wav,1
cultura_2017_05_14__18_28_00.wav,1
cultura_2017_05_14__18_29_00.wav,1
cultura_2017_05_14__18_30_00.wav,1
cultura_2017_05_14__18_32_00.wav,1
cultura_2017_05_14__18_33_00.wav,1
cultura_2017_05_14__18_34_00.wav,1
cultura_2017_05_14__18_37_00.wav,1
cultura_2017_05_14__18_38_00.wav,1
cultura_2017_05_14__18_40_00.wav,1
cultura_2017_05_14__18_41_00.wav,1
cultura_2017_05_14__18_43_00.wav,1
cultura_2017_05_14__18_44_00.wav,1
cultura_2017_05_14__18_45_00.wav,1
cultura_2017_05_14__18_46_00.wav,1
cultura_2017_05_14__18_47_00.wav,1
cultura_2017_05_14__18_48_00.wav,1
cultura_2017_05_14__18_49_00.wav,1
cultura_2017_05_14__18_51_00.wav,1
cultura_2017_05_14__18_52_00.wav,1
cultura_2017_05_14__18_53_00.wav,1
cultura_2017_05_14__18_54_00.wav,1
cultura_2017_05_14__18_55_00.wav,1
cultura_2017_05_14__18_56_00.wav,1
cultura_2017_05_14__18_57_00.wav,1
cultura_2017_05_14__9_24_38.wav,1
cultura_2017_05_14__9_25_00.wav,1
cultura_2017_05_14__9_26_00.wav,1
cultura_2017_05_14__9_26_12.wav,1
cultura_2017_05_14__9_27_00.wav,1
cultura_2017_05_14__9_28_00.wav,1
cultura_2017_05_14__9_30_00.wav,1
cultura_2017_05_14__9_31_00.wav,1
cultura_2017_05_14__9_32_00.wav,1
cultura_2017_05_14__9_34_00.wav,1
cultura_2017_05_14__9_35_00.wav,1
cultura_2017_05_14__9_36_00.wav,1
cultura_2017_05_14__9_38_00.wav,1
cultura_2017_05_14__9_39_00.wav,1
cultura_2017_05_14__9_40_00.wav,1
cultura_2017_05_14__9_42_00.wav,1
cultura_2017_05_14__9_43_00.wav,1
cultura_2017_05_14__9_44_00.wav,1
cultura_2017_05_14__9_48_00.wav,1
cultura_2017_05_14__9_49_00.wav,1
cultura_2017_05_14__9_50_00.wav,1
cultura_2017_05_15__0_05_00.wav,1
cultura_2017_05_15__0_15_00.wav,1
cultura_2017_05_15__0_20_00.wav,1
cultura_2017_05_15__0_25_00.wav,1
cultura_2017_05_15__0_30_00.wav,1
cultura_2017_05_15__0_40_00.wav,1
cultura_2017_05_15__0_45_00.wav,1
cultura_2017_05_15__0_55_00.wav,1
cultura_2017_05_15__1_05_00.wav,1
cultura_2017_05_15__1_15_00.wav,1
cultura_2017_05_15__1_20_00.wav,1
cultura_2017_05_15__1_30_00.wav,1
cultura_2017_05_15__1_40_00.wav,1
cultura_2017_05_15__1_45_00.wav,1
cultura_2017_05_15__1_50_00.wav,1
cultura_2017_05_15__1_55_00.wav,1
evangelizar_2017_05_20__13_04_00.wav,1
evangelizar_2017_05_20__13_08_00.wav,1
evangelizar_2017_05_20__13_12_00.wav,1
evangelizar_2017_05_20__13_14_00.wav,1
evangelizar_2017_05_20__13_22_00.wav,1
evangelizar_2017_05_20__13_24_32.wav,1
evangelizar_2017_05_20__13_26_00.wav,1
evangelizar_2017_05_20__13_34_25.wav,1
evangelizar_2017_05_20__13_36_00.wav,1
evangelizar_2017_05_20__13_40_00.wav,1
evangelizar_2017_05_20__13_42_25.wav,1
evangelizar_2017_05_20__13_52_00.wav,1
evangelizar_2017_05_20__13_54_37.wav,1
evangelizar_2017_05_20__13_56_09.wav,1
evangelizar_2017_05_20__14_00_00.wav,1
evangelizar_2017_05_20__14_06_00.wav,1
evangelizar_2017_05_20__14_08_00.wav,1
evangelizar_2017_05_20__14_10_00.wav,1
gospel89_2017_05_20__11_57_53.wav,1
gospel89_2017_05_20__11_59_53.wav,1
gospel89_2017_05_20__12_05_53.wav,1
gospel89_2017_05_20__12_07_53.wav,1
gospel89_2017_05_20__12_09_53.wav,1
gospel89_2017_05_20__12_11_53.wav,1
gospel89_2017_05_20__12_13_53.wav,1
gospel89_2017_05_20__12_16_13.wav,1
gospel89_2017_05_20__12_23_53.wav,1
gospel89_2017_05_20__12_27_53.wav,1
gospel89_2017_05_20__12_29_53.wav,1
gospel89_2017_05_20__12_31_53.wav,1
gospel89_2017_05_20__12_35_53.wav,1
gospel89_2017_05_20__12_43_53.wav,1
gospel89_2017_05_20__12_45_53.wav,1
gospel89_2017_05_20__12_49_53.wav,1
gospel89_2017_05_20__12_51_53.wav,1
gospel89_2017_05_20__12_55_53.wav,1
gospel89_2017_05_20__13_01_53.wav,1
gospel89_2017_05_20__13_03_53.wav,1
gospel89_2017_05_20__13_05_53.wav,1
gospel89_2017_05_20__13_07_53.wav,1
gospel89_2017_05_20__13_09_56.wav,1
gospel89_2017_05_20__13_13_53.wav,1
gospel89_2017_05_20__13_17_53.wav,1
gospel89_2017_05_20__13_21_53.wav,1
gospel89_2017_05_20__13_24_31.wav,1
gospel89_2017_05_20__13_25_53.wav,1
gospel89_2017_05_20__13_34_24.wav,1
gospel89_2017_05_20__13_38_31.wav,1
gospel89_2017_05_20__13_39_53.wav,1
gospel89_2017_05_20__13_42_24.wav,1
gospel89_2017_05_20__13_43_53.wav,1
gospel89_2017_05_20__13_46_07.wav,1
gospel89_2017_05_20__13_49_53.wav,1
gospel89_2017_05_20__13_51_53.wav,1
gospel89_2017_05_20__13_54_35.wav,1
gospel89_2017_05_20__13_56_09.wav,1
grandevale_2017_05_20__12_11_00.wav,1
grandevale_2017_05_20__12_26_00.wav,1
grandevale_2017_05_20__12_28_00.wav,1
grandevale_2017_05_20__12_30_00.wav,1
grandevale_2017_05_20__12_32_00.wav,1
grandevale_2017_05_20__12_34_00.wav,1
grandevale_2017_05_20__12_36_00.wav,1
grandevale_2017_05_20__12_38_00.wav,1
grandevale_2017_05_20__12_46_00.wav,1
grandevale_2017_05_20__12_48_00.wav,1
grandevale_2017_05_20__12_52_00.wav,1
grandevale_2017_05_20__12_54_00.wav,1
grandevale_2017_05_20__12_56_00.wav,1
grandevale_2017_05_20__13_04_00.wav,1
grandevale_2017_05_20__13_08_00.wav,1
grandevale_2017_05_20__13_10_00.wav,1
grandevale_2017_05_20__13_12_00.wav,1
grandevale_2017_05_20__13_14_00.wav,1
grandevale_2017_05_20__13_18_00.wav,1
grandevale_2017_05_20__13_24_30.wav,1
grandevale_2017_05_20__13_26_00.wav,1
grandevale_2017_05_20__13_28_30.wav,1
grandevale_2017_05_20__13_32_00.wav,1
grandevale_2017_05_20__13_34_26.wav,1
grandevale_2017_05_20__13_40_00.wav,1
grandevale_2017_05_20__13_50_00.wav,1
grandevale_2017_05_20__13_52_00.wav,1
grandevale_2017_05_20__13_54_36.wav,1
grandevale_2017_05_20__13_56_09.wav,1
grandevale_2017_05_20__13_58_00.wav,1
grandevale_2017_05_20__14_00_00.wav,1
grandevale_2017_05_20__14_08_00.wav,1
grandevale_2017_05_20__14_12_01.wav,1
grandevale_2017_05_20__14_14_01.wav,1
grandevale_2017_05_20__14_16_01.wav,1
grandevale_2017_05_20__14_20_01.wav,1
rock_2017_05_13__19_39_09.wav,1
rock_2017_05_13__19_41_09.wav,1
rock_2017_05_13__19_42_09.wav,1
rock_2017_05_13__19_43_09.wav,1
rock_2017_05_13__19_45_09.wav,1
rock_2017_05_13__19_46_09.wav,1
rock_2017_05_13__19_53_09.wav,1
rock_2017_05_13__19_55_09.wav,1
rock_2017_05_13__19_56_09.wav,1
rock_2017_05_13__19_57_09.wav,1
rock_2017_05_13__19_59_09.wav,1
rock_2017_05_13__20_00_09.wav,1
rock_2017_05_13__20_01_09.wav,1
rock_2017_05_13__20_02_09.wav,1
rock_2017_05_13__20_03_09.wav,1
rock_2017_05_13__20_04_09.wav,1
rock_2017_05_13__20_05_09.wav,1
rock_2017_05_13__20_06_09.wav,1
rock_2017_05_13__20_08_09.wav,1
rock_2017_05_14__10_18_00.wav,1
rock_2017_05_14__10_23_00.wav,1
rock_2017_05_14__10_28_00.wav,1
rock_2017_05_14__10_38_00.wav,1
rock_2017_05_14__10_43_00.wav,1
rock_2017_05_14__10_53_00.wav,1
rock_2017_05_14__10_58_00.wav,1
rock_2017_05_14__11_08_00.wav,1
rock_2017_05_14__11_13_00.wav,1
rock_2017_05_14__11_23_00.wav,1
rock_2017_05_14__11_28_00.wav,1
rock_2017_05_14__11_38_00.wav,1
rock_2017_05_14__11_43_00.wav,1
rock_2017_05_14__11_48_00.wav,1
rock_2017_05_14__11_53_00.wav,1
rock_2017_05_14__11_58_00.wav,1
rock_2017_05_14__12_08_00.wav,1
rock_2017_05_14__12_13_00.wav,1
rock_2017_05_14__18_10_00.wav,1
rock_2017_05_14__18_15_00.wav,1
rock_2017_05_14__18_20_00.wav,1
rock_2017_05_14__18_25_00.wav,1
rock_2017_05_14__18_35_00.wav,1
rock_2017_05_14__18_40_00.wav,1
rock_2017_05_14__18_50_00.wav,1
rock_2017_05_14__18_55_00.wav,1
rock_2017_05_14__19_35_00.wav,1
rock_2017_05_14__19_40_00.wav,1
rock_2017_05_14__19_50_00.wav,1
rock_2017_05_14__19_55_00.wav,1
rock_2017_05_14__9_35_56.wav,1
rock_2017_05_14__9_37_00.wav,1
rock_2017_05_14__9_42_00.wav,1
rock_2017_05_14__9_47_00.wav,1
rock_2017_05_15__1_00_00.wav,1
rock_2017_05_15__1_01_00.wav,1
rock_2017_05_15__1_02_00.wav,1
rock_2017_05_15__1_03_00.wav,1
rock_2017_05_15__1_04_00.wav,1
rock_2017_05_15__1_05_00.wav,1
rock_2017_05_15__1_06_00.wav,1
rock_2017_05_15__1_07_00.wav,1
rock_2017_05_15__1_08_00.wav,1
rock_2017_05_15__1_09_00.wav,1
rock_2017_05_15__1_12_00.wav,1
rock_2017_05_15__1_14_00.wav,1
rock_2017_05_15__1_15_00.wav,1
rock_2017_05_15__1_16_00.wav,1
rock_2017_05_15__1_17_00.wav,1
rock_2017_05_15__1_18_00.wav,1
rock_2017_05_15__1_19_00.wav,1
rock_2017_05_15__1_20_00.wav,1
rock_2017_05_15__1_22_00.wav,1
rock_2017_05_15__1_24_00.wav,1
rock_2017_05_15__1_25_00.wav,1
rock_2017_05_15__1_27_00.wav,1
rock_2017_05_15__1_28_00.wav,1
rock_2017_05_15__1_31_00.wav,1
rock_2017_05_15__1_35_00.wav,1
rock_2017_05_15__1_37_00.wav,1
rock_2017_05_15__1_38_00.wav,1
rock_2017_05_15__1_39_00.wav,1
rock_2017_05_15__1_40_00.wav,1
rock_2017_05_15__1_41_00.wav,1
rock_2017_05_15__1_43_00.wav,1
rock_2017_05_15__1_44_00.wav,1
rock_2017_05_15__1_45_00.wav,1
rock_2017_05_15__1_46_00.wav,1
rock_2017_05_15__1_48_00.wav,1
rock_2017_05_15__1_50_00.wav,1
rock_2017_05_15__1_51_00.wav,1
rock_2017_05_15__1_52_00.wav,1
rock_2017_05_15__1_53_00.wav,1
rock_2017_05_15__1_57_00.wav,1
rock_2017_05_15__1_58_00.wav,1
rock_2017_05_15__1_59_00.wav,1
top104_2017_05_20__12_12_42.wav,1
top104_2017_05_20__12_16_04.wav,1
top104_2017_05_20__12_18_42.wav,1
top104_2017_05_20__12_27_42.wav,1
top104_2017_05_20__12_30_42.wav,1
top104_2017_05_20__12_36_42.wav,1
top104_2017_05_20__12_39_42.wav,1
top104_2017_05_20__12_51_42.wav,1
top104_2017_05_20__12_54_42.wav,1
top104_2017_05_20__12_57_42.wav,1
top104_2017_05_20__13_06_42.wav,1
top104_2017_05_20__13_09_42.wav,1
top104_2017_05_20__13_12_42.wav,1
top104_2017_05_20__13_15_42.wav,1
top104_2017_05_20__13_18_42.wav,1
top104_2017_05_20__13_24_42.wav,1
top104_2017_05_20__13_27_42.wav,1
top104_2017_05_20__13_36_42.wav,1
top104_2017_05_20__13_39_42.wav,1
top104_2017_05_20__13_42_42.wav,1
top104_2017_05_20__13_48_42.wav,1
top104_2017_05_20__13_51_42.wav,1
top104_2017_05_20__13_55_23.wav,1
top104_2017_05_20__13_57_42.wav,1
vida_2017_05_20__12_10_00.wav,1
vida_2017_05_20__12_14_00.wav,1
vida_2017_05_20__12_16_13.wav,1
vida_2017_05_20__12_18_15.wav,1
vida_2017_05_20__12_20_00.wav,1
vida_2017_05_20__12_22_00.wav,1
vida_2017_05_20__12_26_00.wav,1
vida_2017_05_20__12_28_00.wav,1
vida_2017_05_20__12_30_00.wav,1
vida_2017_05_20__12_32_00.wav,1
vida_2017_05_20__12_34_00.wav,1
vida_2017_05_20__12_36_00.wav,1
vida_2017_05_20__12_38_00.wav,1
vida_2017_05_20__12_40_00.wav,1
vida_2017_05_20__12_42_00.wav,1
vida_2017_05_20__12_44_00.wav,1
vida_2017_05_20__12_48_00.wav,1
vida_2017_05_20__12_50_00.wav,1
vida_2017_05_20__12_52_00.wav,1
vida_2017_05_20__12_54_00.wav,1
vida_2017_05_20__12_56_00.wav,1
vida_2017_05_20__13_00_27.wav,1
vida_2017_05_20__13_02_00.wav,1
